idx,hash,firstTriplet,quintets,quintetInKeyWindow
1398,f6f7c6c5bbb43893a51b3964161ed179,b,#,#N/A
1411,aa940387d92ff4e713cf6379ccc02c5c,c,#,#N/A
1414,7ba18b888238aae1ee6e88b0520314af,8,#,#N/A
1438,eef642a88757be012ff243b555db91e5,5,#,#N/A
1441,3a888d3c060f70b5a5876e6e19b7a6ca,8,#,#N/A
1442,460015f41d60818befc51db20bbb0cc5,b,#,#N/A
1449,9635557a5fda864c9096d6ae56d69600,5,#,#N/A
1455,b911a53e73950dda0f9306d612227fb3,2,#,#N/A
1468,67df024ce5f8986695c96f5893531fff,f,#,#N/A
1479,ccda572066cb236daf705e5d5cddd34e,d,#,466
1480,f642111e8f499e80917c5d0c7fc92468,1,#,695
1485,473b1cd176d93b7eee6008ca0967c3dd,e,#,#N/A
1492,888b556508df0b5bd976847891ed9960,8,#,#N/A
1502,cb37a37f6b8a073293660a8622267790,2,#,#N/A
1511,1811281d2f5e773ea26888162e8625a2,8,#,#N/A
1525,b8ed69d5c788090553429f180d06c777,7,#,#N/A
1531,a9a2aa06e5f98d666b5d822a886b4015,6,#,#N/A
1547,faaa9c5974a76b689885eef630880057,a,#,#N/A
1548,37773f8fb279b58a99e0cff7cfbbe568,7,#,#N/A
1550,46ac24a5a0fc4e01ab302af5bb511123,1,#,686
1563,d4c9e1333e97aae0f8e9f4d59e410ddf,3,#,#N/A
1570,d06a25c9ecf697f3bda90c7dc5e999f0,9,#,#N/A
1577,63332e723faffabb93a0c7bad289197d,3,#,#N/A
1578,7717776d28b6a910eaeb662d30ff5d08,7,#,#N/A
1585,8d1cc9a7ace2c39ddd08e75e16310fae,d,#,451
1594,c0100022937e754179898176a43d95b2,0,#,674
1616,d0e712a072227d3189cc94854c057e3c,2,#,#N/A
1624,dd79bba07000498643e3a6b1d6fa8da0,0,#,672
1644,aaac58604a90f1a563006b13590e79af,a,#,#N/A
1670,47567955513657c4fc1c38f8ea2b9601,5,#,#N/A
1699,ff1db416091f0cf000b13bbfd0cae66f,0,#,669
1700,a816fbe382a0827e424fff39ddfbd865,f,#,#N/A
1711,c58acaea41bd7433354f988ada9c4b1b,3,#,#N/A
1727,9e915f222c4a7991729ceb92fa504d8c,2,#,#N/A
1742,74ae00c391444919e202830376d6d5c9,4,#,#N/A
1752,823b10a666dbcb8e1181ec96514bd715,6,#,#N/A
1771,81d695e7e81144666ccf123a5d259451,6,#,#N/A
1776,0b145fc792382f39847b2c9c1ddd9489,d,#,438
1777,fddd842fbb4226d0ac2bd572b62fe978,d,#,437
1780,923e6c31bd4b541416565c32869aaa09,a,#,#N/A
1783,f1f355ff2cb2d092666d382946272797,6,#,#N/A
1786,3ab4c1854b352372c653250dddcc9e55,d,#,434
1795,1c6036b330888139e4cb2201a424d7ed,8,#,#N/A
1817,c2fb460000ab407444000ef061ed2841,4,#,#N/A
1818,376a7d4e22a9c6668d29c6f63ff79b96,6,#,#N/A
1848,6f7499333bbc4b21ae4019273c44508e,3,#,#N/A
1856,d05ca63dec8904aaa47b0ad9bc5fe839,a,#,#N/A
1873,a7ea5f008ebbb8ab8cb52dd95c95d46a,b,#,#N/A
1878,4b3c5133f8d762a3339788ecde6e9664,3,#,#N/A
1897,2f43338358cdb0be6d0ef2f558044ee1,3,#,#N/A
1898,11fcef01116b2da8d0cc3ec87d34a1d9,1,#,655
1899,cebafc399b0724d6b7ee2e9ca986beee,e,#,#N/A
1900,8da8397b1f3f1046788842c75150643a,8,#,#N/A
1905,45e60e97658f9ea333f95ba8a3c1c976,3,#,#N/A
1917,0df2e6a01116b97da0dd8bbd3db0aca6,1,#,651
1934,f35deae0b311ba91bd3ac61ae03d8555,5,#,#N/A
1940,942e00679a0af63c71acefff4bb93f9e,f,#,#N/A
1945,df85d2b8e01920a0e0957770399299b2,7,#,#N/A
1948,a140dd2069abf7f35666095384d8cfb3,6,#,#N/A
1987,ad1f0cdac2c7db333fc0ca98cca89010,3,#,#N/A
1988,04cbbb8a74b6ab88c1504de59c80979b,b,#,#N/A
2005,16b463e5583eed80d84704fff747747a,f,#,#N/A
2007,37ae413d538936c98dfc8d1dbe16664e,6,#,#N/A
2011,193e060a9ed4df73d2d4777d8f054c7f,7,#,#N/A
2025,a3a07588f0d5718408a1114c8ba84598,1,#,641
2026,957097770d0af925178e31a7871800df,7,#,#N/A
2037,a51c476668c23b97ae8a11058a54a7e9,6,#,#N/A
2046,f370561f292f244222bdb32b2121b938,2,#,#N/A
2061,6c19ac30eeef984db8a03cac6e06dcf4,e,#,#N/A
2086,4ba71f9dee09170d7298e1590777109e,7,#,#N/A
2101,576d4772836b77eaace0009f4cdfea21,0,#,629
2110,9289a84666418a14c7ec88a6e2931d39,6,#,#N/A
2126,432888a1ead2d344927e56c56e2f9f12,8,#,#N/A
2130,7c919f333fc2236ebf1f28602e178e63,3,#,#N/A
2137,052ba86bcc8cbb37fb513337b7916079,3,#,#N/A
2146,005b3b61b9b2f56777fcd5a8b9a3c58f,7,#,#N/A
2157,d9dc29b2b75412fffa15adfdc08406da,f,#,#N/A
2174,60307ac369992cf9f47211baa4e67f13,9,#,#N/A
2180,eb9f80af0bbba08aa8f262f54018f720,b,#,#N/A
2196,000d69e0505d8d009ab51658079af109,0,#,620
2202,9ae7222c8d78f95a5608b52a096cc4c7,2,#,#N/A
2209,20805e6c8787d8d180008be236b61400,0,#,618
2211,8b717c976ffb444bf154e24cfc9f86b7,4,#,#N/A
2227,fbccc95a9b2025d430cf7d438907093d,c,#,#N/A
2232,24411ddd0beb4068ef5912be7b89ecb2,d,#,391
2235,826610a92addd3d90d1da17cc57adfd9,d,#,390
2246,f4657ea2428702a76abea22b1b27888f,8,#,#N/A
2247,3348145550a60aa7d16f1d442e73fc0d,5,#,#N/A
2267,9e605ccc67e6112d67f25913decc0203,c,#,#N/A
2284,849b33322156e1206df34bc0774c57b9,3,#,#N/A
2286,ccc31adc9abe52c1f878e54c23ba845f,c,#,#N/A
2288,85f3650511f35b323199972c06483c53,9,#,#N/A
2294,6ec0f7770ac7d35797dac493f1fbbf7e,7,#,#N/A
2296,cd5dbbbe1368519ff6cb5a27ac125301,b,#,#N/A
2319,94447191049a2c65125392c4e82cfa00,4,#,#N/A
2340,5b5c823c777050255eee730b582ed418,7,#,#N/A
2378,888f4aba1dbfc157a8731534b8e6fa0c,8,#,#N/A
2380,0ac69a80db113ac3cadcc4bf11139e4e,1,#,608
2381,16b0856e08cb633c49c9222371de2828,2,#,#N/A
2393,57f134035d83361c8fa45e430d800666,6,#,#N/A
2396,6f827fffe45e38bd6b794500e6da80a8,f,#,#N/A
2432,18e0130a27bbb08ea7df1eba7b7ed3ac,b,#,#N/A
2449,91b94fe48b8b79406c3bff010793331d,3,#,#N/A
2459,febcae56beca971b703a006fffd3e5f3,f,#,#N/A
2473,650a30c8aefa674839cc199924761e2f,9,#,#N/A
2479,f21656eb19423cea2899a0c43afffeba,f,#,#N/A
2488,824555e7aec5409a14287d177d12f2fb,5,#,#N/A
2491,b72d7b8915a087fa61880705aaae180b,a,#,#N/A
2504,3825d582e0d81d465f18c44416da17cb,4,#,#N/A
2516,f1b44814f0941774c4a1453e41aaa538,a,#,#N/A
2523,ac4a06eff055fff9640c14f3d56668f6,f,#,#N/A
2524,0a4f75b05c1f1dc2d61ecacccae264db,c,#,#N/A
2530,71890a6f7f3852a155588c4d223eac86,5,#,#N/A
2548,8d13080492c682f59666acafb802936e,6,#,#N/A
2573,f375a2d4a6682e3a444999d5055ec16b,4,#,#N/A
2576,26f52bbb5ff935e54922920e60508de4,b,#,#N/A
2581,9fde46eade666568cf46ceed15a8b394,6,#,#N/A
2585,8b5d5e599a7fc92ff386763c76e00075,0,#,582
2592,c3b32372bf0b0366e321e8652c8c6ccc,c,#,#N/A
2595,48b2eb2fe23f35bec2325215fbeaaa5c,a,#,#N/A
2602,c96fce84bbb73982a378d2ae5e4a7b75,b,#,#N/A
2609,f666e540c929cc47090fd7b7e7510181,6,#,#N/A
2625,dae48701497b480537b143b333d671d4,3,#,#N/A
2637,d88a42019566d5acc09c93888b054971,8,#,#N/A
2657,bbcdcc4d1fff5675057e818d13eddd1d,f,#,#N/A
2669,f689be71a1045da712aeee6a723037d9,e,#,#N/A
2675,aa6ff305775c256b58011794aae1ddd2,d,#,349
2727,2a678ee96e827e399e8e1115e02e3a5e,1,#,578
2736,b5d902a9be26fd79abfb6fdeee1fa773,e,#,#N/A
2764,371b126677a8ffa6e6f6b5e188817f94,8,#,#N/A
2766,656b85279995b14842c4e612e1916c44,9,#,#N/A
2784,68158999341cfbf6fe62a6d193a7c312,9,#,#N/A
2790,bd099165551c9dba94853077c5dc3eee,5,#,#N/A
2798,e967ea18d55c04bb846cd845d45e8885,8,#,#N/A
2827,727f9c7806970f59b764e422285f0bc4,2,#,#N/A
2835,5459ccf4e7b444b25e3219b969575811,4,#,#N/A
2841,9d331579ba304c9c768c8e7cc9990ec3,9,#,#N/A
2842,286528127c4f1b6981056ccca83cc706,c,#,#N/A
2857,3bbbe71e040d90735686ad96e7c2c309,b,#,#N/A
2875,9433398bdb4874f2a61d896e9a0bd811,3,#,#N/A
2885,0d185114bf56903cadcb2dd2999acf96,9,#,#N/A
2892,47d55506a83431e1f6df95359a594e24,5,#,#N/A
2910,7610dabe4ef09e9f31db1bdddc835ac7,d,#,333
2930,c973a3184a74a6e11140892ee26d80c8,1,#,562
2949,65b6fe2e3683334389d5dbce7f835ae3,3,#,#N/A
2963,a068e9aa2aa5c35e4f395e2ecd9d7ccc,c,#,#N/A
2968,e7ce7d0677e44484e48898c56fbf59d2,4,#,#N/A
2979,40f461d344dd41278555414e452408e4,5,#,#N/A
2981,2957ff7d1a8762e9d439b99f2eee5358,e,#,#N/A
2998,cdf183376b532ad8e9c8fc4a15c00020,0,#,550
3000,b2b0e393549bee778aadd0009fcbbd20,0,#,549
3004,18c575ea10c06477dddbb415d2c5f759,d,#,324
3007,bcf5e300040af34ed1b3a07f3b68fb5b,0,#,547
3010,89c506b9da000b84e897be245b07a369,0,#,546
3022,2fa295d5736119e9eabc5c8883c21532,8,#,#N/A
3026,2fa7607825046bb71bccce10297f9ed2,c,#,#N/A
3028,cf776021dc58b3309eee91b9ed1dc0cb,e,#,#N/A
3033,82ccc13aa995b57039afd826e1bffdd3,c,#,#N/A
3046,0071984c6994f0611c6df43121731333,3,#,#N/A
3050,a164bbb9c81f70f303b24eba5d59769a,b,#,#N/A
3052,760e007d01a6985851980c2f48eee54f,e,#,#N/A
3071,fff592f3e2b7dc0276c38c81692d4ffe,f,#,#N/A
3084,b1216993724b4cae62f485bd76bbb934,b,#,#N/A
3090,74333cde70e0df5186e1062d4da5e5f6,3,#,#N/A
3107,8cefb2a311bf8b98ee111e7842e05fbe,1,#,541
3116,bf00879adc93d9d18a999172688496d9,9,#,#N/A
3118,ffe542b0c62bfc9496798ef8944411e6,4,#,#N/A
3126,3c56b520023954f1819891113d9f8017,1,#,538
3138,e21be76fdf1e7654c8fff0d9ad647dee,f,#,#N/A
3142,d850f741178f1eda0c522262f98b9272,2,#,#N/A
3152,575bc73c9a555bcc064052a788003a00,5,#,#N/A
3159,d9b218c8b2acccbb049d70a394ac6073,c,#,#N/A
3163,ccd121762217ab1cf4446863db3275a4,4,#,#N/A
3173,bf9d7333162a10a879b8be99a1f1ae86,3,#,#N/A
3190,9629828f110310e41f57f06dd5ddd0d4,d,#,301
3199,028c00d4f3cc1110bd105af57e901940,1,#,530
3200,d30867875fff93d6f9067b97079468ea,f,#,#N/A
3225,5819bd1cfd22e1badce56eedc9841000,0,#,522
3235,f65198c666276b2845e9e140459c443c,6,#,#N/A
3238,453a94c1812ccc41d3bde586317e2417,c,#,#N/A
3240,8383dad31f3007270aaa04b6ea551672,a,#,#N/A
3259,5aaaa758fdf97958ce3144ddd23f8a23,d,#,294
3270,3a413bb222fc5daa864423dd0b0f28c3,2,#,#N/A
3274,5c47ef33847e366607448b3d35a1b4ff,6,#,#N/A
3279,c4b69390e945f1b88fe98ffe4a1e5552,5,#,#N/A
3291,cb35525254a23f7605ad4555d82e176d,5,#,#N/A
3292,41d2cccefaa0b544b6287360937fe67f,c,#,#N/A
3297,a8b8fc0194aaaf6ff11d668e1a09fdf5,a,#,#N/A
3301,6ffebcdb475abbbeaad73595064038f5,b,#,981
3317,6d82bd33316462621c57fd29cac1f9e9,3,#,#N/A
3318,093db5d9dc1320443754fe2f4aaa5c58,a,#,#N/A
3322,b338eefe8cc911d1547bbbdc67f25f74,b,#,978
3328,666fd1973dde6e8d1025201a5dc4bdfa,6,#,#N/A
3344,90653c0adf11cf1d6877597f7b126664,6,#,#N/A
3353,3775865deee8f169844a77f38d768cb0,e,#,#N/A
3378,23aaa53f9e57c7257ba7c396e46224e0,a,#,#N/A
3383,75fdc8ecde76cdf3364fbeee5f92e218,e,#,#N/A
3385,9fccc9abb97478d61b1882871783feff,c,#,#N/A
3386,6a6866ac71999d08de508ce2b6ab18e3,9,#,#N/A
3396,5f218885b54d69ba442c9980045afeb3,8,#,#N/A
3397,562d25155c3cb7126e3992323fb84aaa,a,#,#N/A
3406,3fdea1c19bdaa76708c3d27bbb41df44,b,#,968
3416,ccc230e288b4fda37eee4e16a66ee0cb,c,#,#N/A
3419,5afbed32630fffb0490b6c0c6968539d,f,#,#N/A
3432,876f4a5a9c4a3c22f7f0eaaa3248e821,a,#,#N/A
3439,054fa4341b0007256b51af37fa47299f,0,#,494
3446,888e153780a63b2ab116077bd0530385,8,#,#N/A
3447,137a5efccf137db530c9c2111cfa1293,1,#,498
3449,991ed3dc9bbbec607f995c2185b90a5c,b,#,961
3453,ddd9ddf67dcb7edf2f263d381c07c02e,d,#,266
3477,7794f03651f38917341666409cfa0185,6,#,#N/A
3479,dfdf1cddca24b905ebbbea08ba809cb5,b,#,958
3491,a85e3d2c011f8ebcc229456f5fff50db,f,#,#N/A
3499,119151ca96c46667b57f1addb44a1ced,6,#,#N/A
3501,53b6492b8f296fcafc24b88841e14254,8,#,#N/A
3527,0008a94875cd7adc8f2592a44226f29c,0,#,484
3544,cad3054449e07ea556057fa83f402949,4,#,#N/A
3552,4a2d81d3b561ebcabb6ab9011177f1b4,1,#,488
3561,d7e5e38bf70eee1beed6060902b14278,e,#,#N/A
3575,7772fc5b3390bdeb3da199e1c53ff967,7,#,#N/A
3589,9ade0b15be74b501222690e5222c1c3d,2,#,#N/A
3593,a63f3dd5e1181f492d5f9ff199944b5f,9,#,#N/A
3608,8b79f45558d43d396ffddbbdab8553c0,5,#,#N/A
3613,255977bbb48caff7b63ec4b65849fe44,b,#,946
3628,47c094c15f1dac0a83c05f88822eb3fe,8,#,#N/A
3637,ac41962c8d0c54d04143ba50e5b77767,7,#,#N/A
3643,d5d4b29b9aa16eddce8e059dddcaadbc,d,#,249
3668,f5999c367ac683eb936326604a03cb89,9,#,#N/A
3678,30c365e82f5417771d22aef6243f1ae7,7,#,#N/A
3690,cd0d666b54645eb0e45dbe3ed4c366f0,6,#,#N/A
3701,92a6e68c6c6f323d999f0f45bfa45798,9,#,#N/A
3725,ccd65840450097936fdf3782a0e000b7,0,#,468
3735,81cab648a4f6c30dddc1edf4feda2808,d,#,243
3757,51f3a918bdfe07741aaa9c12048aad65,a,#,#N/A
3772,da1ae70d0f06fff34060e4d15de57239,f,#,#N/A
3774,0052000fcf401373fb0c246bccf8664e,0,#,464
3784,3e1c88241a99de42223a076e37c584c7,2,#,#N/A
3793,94db16467476e31697ddb22d3999e9c3,9,#,#N/A
3797,64c48d70cd7b559ea25d9031c888fcf4,8,#,#N/A
3808,0dd41fbbb3afa23e180e4b07889a99d9,b,#,930
3813,c4ebd344048ccc147596edddcf217222,c,#,#N/A
3814,dead32469fa09c46ad935f726cbbb618,b,#,928
3837,6b3428d0ce2c80001ffcd677dd5ac816,0,#,457
3846,f5e450cccbe0ad57b034f0f6922c8049,c,#,#N/A
3857,ab904a8e9c0001e03ad6fedac1767251,0,#,455
3868,a37f2b6664c579c356ffb61400ec983d,6,#,#N/A
3879,9d0006ccfb266eff57b33dc864dac3e3,0,#,453
3880,deadd35fffade384b41d5c7ec23a5d2f,f,#,#N/A
3887,da7f000de400e7fd2f2bb981e2e33fd5,0,#,451
3890,5ed721815faaa29c22f8f1f67e9bb744,a,#,#N/A
3896,710783d7ff9c9e111ae441eb1c56b133,1,#,455
3920,2ea5a9f57ad4c487120fc14b55522a5f,5,#,#N/A
3937,b0d8db10c9991f049000f3758eb7837d,9,#,#N/A
3954,1cd3694f3c000c10f961270b44eb427b,0,#,446
3958,620b8f50d9be3c777d0e89b0e4a2082b,7,#,#N/A
3961,9387a777d9423ef371a540637797afc8,7,#,#N/A
3968,7d6be3231d234f6a151e5b72221e8805,2,#,#N/A
4013,fae93cc6ab36797263497444bf44bf7c,4,#,#N/A
4018,fa512396d6b4aba548889ee1fa8fc517,8,#,#N/A
4044,ec49828daeeea10bee1cf982daa3e248,e,#,#N/A
4059,7c5a4627d7bd28dac1115d2dccbfa484,1,#,445
4060,d088809653d0a3a92a7b4762bb499569,8,#,#N/A
4069,b54ec6eaa8eab53273ddde0e43797c5c,d,#,213
4075,75725556371547ae1d0969f0394db609,5,#,#N/A
4143,c9be9dfaea85000c401193f8fa85d1ad,0,#,435
4145,c8ee829314ae21bc68d6b6d590c29444,4,#,#N/A
4175,4aaa2be24689aff64e8511cd67f9d0f8,a,#,#N/A
4177,9c40003cc8ddea3f4a92fb48c7a6d235,0,#,432
4183,1808de35e47a9848ae888d4b043d176a,8,#,#N/A
4193,0f44468513f6df09c586a26eb279abba,4,#,#N/A
4221,bab37eee4b85836326e6f1650297cccb,e,#,#N/A
4231,bcbba379188f658a90c36a12228f6909,2,#,#N/A
4233,8f66cc0e630015375fbbe1444afa7c03,4,#,#N/A
4242,05734880ade573389f59e2ec5d888709,8,#,#N/A
4255,9dec357c68c292bb9998016a501ec1c6,9,#,#N/A
4266,fd1ba99081000e4b2bf2c7e8e7900431,0,#,424
4275,8df7a85147990711125fd896ad090acc,1,#,429
4281,1af7ffe0449b6b33a3e8ddde5001ff39,d,#,198
4282,1a7f4917037845f17000a31544d20ca0,0,#,421
4283,eb6f2c31660001d90a5dbbf4e47435e6,0,#,420
4294,63cac021e09a4fcac040968848d0009b,0,#,419
4326,4326661e37c336140159b006c952745d,6,#,#N/A
4337,a13a08260f919c4232c3330b34588ba5,3,#,#N/A
4340,86d367c89fe7552c7a99916ca0f75936,9,#,#N/A
4345,70e03171d4da888c49bcef5bceb8ec29,8,#,#N/A
4358,d0ca30028d9f763cb57e759b59e111fb,1,#,420
4359,885f0b351420646c5222b398ea481823,2,#,#N/A
4364,444add67c982260e2b8b80de20456a06,4,#,#N/A
4374,273bb6662ec4ef58d0efe12e7170bd63,6,#,#N/A
4379,0bbcebcdb8aa23fcac71d999d6fedf1a,9,#,#N/A
4395,ce63cd125bd6bbb84bc26a7dd424c97f,b,#,879
4396,ccc2eee450d9538c9264f425a00055a9,c,#,#N/A
4400,820c23888ec068b2ef61b42eef796b49,8,#,#N/A
4420,a4c16f38d999c30438f87fce10534a95,9,#,#N/A
4443,ab239e3f91473d5733a5f6ccddd10057,d,#,181
4444,1e35972c1253068889c06428c2efc9f2,8,#,#N/A
4446,7b6179ef03a584709f4d8889dae7bf68,8,#,#N/A
4448,9ad47860e888ee373dfc794ece3caad1,8,#,#N/A
4466,a764b5f0177b6bd49c4994ccc9e7bc83,c,#,#N/A
4482,1d6b9faae181444ad874e49f9639f254,4,#,#N/A
4494,99967b7286a659a0e8484edee406dfe4,9,#,#N/A
4496,3018e403f2aaf638111d586f461b5779,1,#,404
4502,e3cccf680ddf6d6ad6ed3a4a72fffc56,c,#,#N/A
4508,51b5b87acccedb6ecaff3b9edd505793,c,#,#N/A
4513,8eadc9602beeebdaf6f544bda7f2f5c6,e,#,#N/A
4541,d1fc89e33bc1d59bdccc099f1bd25f55,c,#,#N/A
4579,b8f47fe70806c444e8d98aaf8abdf28c,4,#,#N/A
